City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Lebu,CL,2022-11-28 01:52:06,-37.6167,-73.65,55.49,91,1,11.36
116,Labuhan,ID,2022-11-28 01:52:07,-6.8844,112.2051,82.98,73,100,7.81
117,Bethel,US,2022-11-28 01:52:07,41.3712,-73.414,59.49,89,100,9.22
118,Panzhihua,CN,2022-11-28 01:52:07,26.5851,101.7128,57.94,52,0,0.78
119,Jibuti,DJ,2022-11-28 01:50:46,11.5,42.5,68.13,85,70,10.69
120,Jertih,MY,2022-11-28 01:52:08,5.7336,102.4897,82.96,76,68,0.65
121,Wisconsin Rapids,US,2022-11-28 01:52:09,44.3836,-89.8174,32.29,84,0,0.0
122,Shimoda,JP,2022-11-28 01:52:09,34.6667,138.95,61.16,78,100,3.74
123,Hannibal,US,2022-11-28 01:52:09,39.7084,-91.3585,42.71,75,100,3.44
124,Kulhudhuffushi,MV,2022-11-28 01:52:10,6.6221,73.07,80.76,71,67,7.02
125,Boende,CD,2022-11-28 01:52:10,-0.2167,20.8667,69.19,92,99,0.81
126,Victoria,HK,2022-11-28 01:52:04,22.2855,114.1577,81.25,90,15,7.0
127,Sakakah,SA,2022-11-28 01:48:46,29.9697,40.2064,60.37,55,90,13.94
128,Barcelos,PT,2022-11-28 01:52:11,41.5388,-8.6151,48.92,86,6,3.44
129,Slave Lake,CA,2022-11-28 01:52:11,55.2834,-114.769,17.58,86,100,20.71
130,Halifax,CA,2022-11-28 01:51:58,44.6453,-63.5724,48.22,96,100,9.22
131,Upernavik,GL,2022-11-28 01:52:12,72.7868,-56.1549,12.6,83,100,4.92
132,Bosaso,SO,2022-11-28 01:52:12,11.2842,49.1816,74.97,81,31,2.42
133,Guarapari,BR,2022-11-28 01:52:13,-20.6667,-40.4975,73.06,95,100,9.31
134,Loreto,MX,2022-11-28 01:52:13,22.2667,-101.9667,57.42,25,0,3.44
135,Lavrentiya,RU,2022-11-28 01:52:14,65.5833,-171.0,10.62,93,69,4.7
136,Bara,NG,2022-11-28 01:52:14,10.3744,10.7288,66.27,24,72,5.95
137,Opuwo,NA,2022-11-28 01:52:15,-18.0607,13.84,62.01,28,2,2.04
138,Coari,BR,2022-11-28 01:52:15,-4.085,-63.1414,75.11,95,100,2.19
139,Bengkulu,ID,2022-11-28 01:53:15,-3.8004,102.2655,80.4,75,100,1.1
140,Humboldt,US,2022-11-28 01:53:16,40.6665,-123.9178,43.68,98,34,2.1
141,Luderitz,NA,2022-11-28 01:53:16,-26.6481,15.1594,58.6,95,20,7.52
142,Saint George,US,2022-11-28 01:53:17,37.1041,-113.5841,48.94,42,0,3.44
143,Saint-Joseph,RE,2022-11-28 01:53:17,-21.3667,55.6167,70.18,73,100,2.19
144,Pevek,RU,2022-11-28 01:53:17,69.7008,170.3133,-9.27,92,100,1.41
145,Torbay,CA,2022-11-28 01:53:18,47.6666,-52.7314,41.76,97,100,9.22
146,Banda Aceh,ID,2022-11-28 01:53:18,5.5577,95.3222,81.95,72,89,1.25
147,Batemans Bay,AU,2022-11-28 01:53:18,-35.7167,150.1833,63.1,88,96,6.49
148,Tuy Hoa,VN,2022-11-28 01:53:19,13.0833,109.3,81.01,79,62,1.19
149,Portland,US,2022-11-28 01:50:26,45.5234,-122.6762,44.62,94,100,1.99
150,Barao De Melgaco,BR,2022-11-28 01:53:19,-16.1944,-55.9675,78.51,34,2,2.24
151,Lotoshino,RU,2022-11-28 01:53:20,56.2267,35.6414,23.7,95,100,9.51
152,Yatou,CN,2022-11-28 01:53:20,37.15,122.3833,60.13,96,100,14.27
153,Zhanjiang,CN,2022-11-28 01:53:21,21.2815,110.3427,81.45,78,18,15.1
154,Tshane,BW,2022-11-28 01:53:21,-24.0196,21.8684,70.12,57,5,4.85
155,Nyurba,RU,2022-11-28 01:53:22,63.2842,118.3319,-22.45,95,48,8.19
156,Margate,GB,2022-11-28 01:53:22,51.3813,1.3862,48.69,97,100,1.01
157,Pavlodar,KZ,2022-11-28 01:52:04,52.3,76.95,-24.0,76,0,2.24
158,Talnakh,RU,2022-11-28 01:53:23,69.4865,88.3972,2.21,98,100,9.82
